connector,feature,description,hs_endpoint,cypress_test_status,prod_used,latest_prod_timestamp
barclaycard,Authentication Flow,3DS challenge step — presents OTP or biometric prompt to cardholder and processes the authentication result,POST /payments (internal 3DS challenge),not_covered,no,
cybersource,Authentication Flow,3DS challenge step — presents OTP or biometric prompt to cardholder and processes the authentication result,POST /payments (internal 3DS challenge),not_covered,no,
redsys,Authentication Flow,3DS challenge step — presents OTP or biometric prompt to cardholder and processes the authentication result,POST /payments (internal 3DS challenge),not_covered,no,
adyen,Balance Check Flow,Check remaining balance on a gift card before authorizing the payment,POST /payments (internal gift card balance check),not_covered,no,
blackhawknetwork,Balance Check Flow,Check remaining balance on a gift card before authorizing the payment,POST /payments (internal gift card balance check),no_cypress_config,no,
adyen,Billing Descriptor,Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor),POST /payments (billing_descriptor in body),not_covered,unknown,
checkout,Billing Descriptor,Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor),POST /payments (billing_descriptor in body),not_covered,unknown,
finix,Billing Descriptor,Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor),POST /payments (billing_descriptor in body),not_covered,unknown,
nuvei,Billing Descriptor,Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor),POST /payments (billing_descriptor in body),not_covered,unknown,
santander,Billing Descriptor,Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor),POST /payments (billing_descriptor in body),no_cypress_config,unknown,
stripe,Billing Descriptor,Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor),POST /payments (billing_descriptor in body),not_covered,unknown,
trustpay,Billing Descriptor,Custom text shown on the cardholder's bank statement (soft descriptor / statement descriptor),POST /payments (billing_descriptor in body),not_covered,unknown,
santander,Connector Intent Metadata,Pass opaque connector-specific intent metadata in the request (e.g. PIX Automático max mandate amount),POST /payments (connector_intent_metadata in router_data),no_cypress_config,unknown,
adyen,Connector Testing Data,Pass connector-specific testing flags/data in the request for sandbox/test mode behavior,POST /payments (connector_testing_data in router_data),not_covered,unknown,
adyen,Dispute Accept,Accept a chargeback dispute without contesting — connector-specific API call to the dispute service,POST /disputes/{id}/accept,not_covered,no,
checkout,Dispute Accept,Accept a chargeback dispute without contesting — connector-specific API call to the dispute service,POST /disputes/{id}/accept,not_covered,no,
worldpayvantiv,Dispute Accept,Accept a chargeback dispute without contesting — connector-specific API call to the dispute service,POST /disputes/{id}/accept,not_covered,no,
adyen,Dispute Defend,Submit evidence documents to defend against a chargeback dispute at the connector,POST /disputes/{id}/evidence,not_covered,no,
checkout,Dispute Defend,Submit evidence documents to defend against a chargeback dispute at the connector,POST /disputes/{id}/evidence,not_covered,no,
adyen,Extended Authorization,Extend the authorization hold window beyond the connector's default expiry period,POST /payments/{id}/extend_authorization,not_covered,no,
paypal,Extended Authorization,Extend the authorization hold window beyond the connector's default expiry period,POST /payments/{id}/extend_authorization,not_covered,no,
archipel,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,covered,no,
cybersource,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,covered,no,
paypal,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,covered,no,
stripe,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,covered,no,
wellsfargo,Incremental Authorization,Increase the authorized amount after initial authorization without re-authenticating the cardholder,POST /payments/{id}/incremental_authorization,not_covered,no,
adyen,Installments,Split the payment into fixed monthly installments at the connector level,POST /payments (installment_data in body),covered,unknown,
checkout,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),not_covered,unknown,
nuvei,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),not_covered,unknown,
worldpayvantiv,L2/L3 Data Processing,"Send Level 2/3 line-item data (tax, PO number, product codes) for commercial card interchange optimization",POST /payments (order_details with L2/L3 fields),not_covered,unknown,
adyen,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
archipel,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
bankofamerica,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
barclaycard,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
bluesnap,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
checkout,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,
cybersource,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),covered,unknown,
fiuu,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
novalnet,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
nuvei,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
stripe,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
unified_authentication_service,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),no_cypress_config,unknown,
wellsfargo,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
worldpay,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
worldpayvantiv,Network Transaction ID,Return the network-assigned transaction ID in the response for use in subsequent MIT/recurring payments,POST /payments (network_transaction_id in response),not_covered,unknown,
airwallex,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),not_covered,no,
nordea,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),no_cypress_config,no,
payme,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),no_cypress_config,no,
razorpay,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),no_cypress_config,no,
trustpay,Order Create Flow,Connector-specific order creation step that must occur before the authorization call (e.g. Klarna/BNPL order setup),POST /payments (internal order creation before auth),not_covered,yes,2026-04-21 01:02:11.864
adyen,Overcapture,Capture more than the originally authorized amount (overcapture / over-capture),POST /payments/{id}/capture (amount > authorized),covered,no,
stripe,Overcapture,Capture more than the originally authorized amount (overcapture / over-capture),POST /payments/{id}/capture (amount > authorized),not_covered,no,
checkout,Partial Authorization,Allow connector to partially approve a payment when the full amount is unavailable (partial approval),POST /payments (enable_partial_authorization=true),not_covered,unknown,
nuvei,Partial Authorization,Allow connector to partially approve a payment when the full amount is unavailable (partial approval),POST /payments (enable_partial_authorization=true),not_covered,unknown,
worldpayvantiv,Partial Authorization,Allow connector to partially approve a payment when the full amount is unavailable (partial approval),POST /payments (enable_partial_authorization=true),not_covered,unknown,
adyen,Partner Merchant Identifier,Identify the platform/marketplace and sub-merchant in the connector request (e.g. Adyen ApplicationInfo),POST /payments (partner_merchant_identifier_details in body),not_covered,unknown,
checkout,Partner Merchant Identifier,Identify the platform/marketplace and sub-merchant in the connector request (e.g. Adyen ApplicationInfo),POST /payments (partner_merchant_identifier_details in body),not_covered,unknown,
barclaycard,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,no,
cybersource,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,no,
nexixpay,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,yes,2026-04-20 16:53:54.624
paypal,Post-Authentication Flow,Complete authorization after 3DS challenge result is received and verified,POST /payments/{id}/complete_authorize,not_covered,yes,2026-04-20 21:57:42.277
barclaycard,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
cybersource,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
nexixpay,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
nmi,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
nuvei,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
redsys,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
shift4,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
worldpayxml,Pre-Authentication Flow,3DS enrollment check — queries whether the card is enrolled in 3DS before initiating a challenge,POST /payments (internal 3DS enrollment check),not_covered,no,
adyen,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
barclaycard,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
blackhawknetwork,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),no_cypress_config,no,
cybersource,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
gocardless,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),no_cypress_config,no,
nexixpay,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,yes,2026-02-05 22:14:48.025
nmi,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
nordea,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),no_cypress_config,no,
nuvei,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,yes,2026-02-04 07:43:53.078
payme,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),no_cypress_config,no,
paypal,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
paysafe,Preprocessing Flow,"Connector-specific setup step before authorization (e.g. session creation, device fingerprinting, BNPL eligibility check)",POST /payments (internal preprocessing before auth),not_covered,no,
