feature,description,hs_endpoint,source,cypress_test_status,notes,prod_used,latest_prod_timestamp
Routing Algorithm,Payment routing rules and algorithm,POST /routing + GET /routing/{id},business_profile.rs:routing_algorithm,covered,Cypress specs: PriorityRouting VolumeBasedRouting RuleBasedRouting,yes,2026-04-21 03:03:53.877723142
Dynamic Routing,AI/ML-based dynamic routing algorithm,POST /routing (dynamic type),business_profile.rs:dynamic_routing_algorithm,not_covered,,yes,2026-04-03 14:18:30.564611
FRM Routing Algorithm,Fraud risk management routing rules,POST /accounts/{merchant_id} (frm_routing_algorithm field),business_profile.rs:frm_routing_algorithm,not_covered,,no,
Payout Routing Algorithm,Payout routing rules,POST /routing (payout type),business_profile.rs:payout_routing_algorithm,not_covered,,yes,2026-04-20 14:31:05.204551
Default Fallback Routing,Fallback routing when primary routing fails,POST /business_profile (default_fallback_routing),business_profile.rs:default_fallback_routing,not_covered,,yes,2026-04-14 13:37:10.684702
3DS Decision Rule Algorithm,Rules engine for 3DS authentication decisions,POST /routing (3ds decision type),business_profile.rs:three_ds_decision_rule_algorithm,not_covered,,yes,2026-04-20 14:31:05.204551
External 3DS Authentication,External 3DS authentication service integration,POST /payments (request_external_three_ds_authentication),business_profile.rs:authentication_connector_details,not_covered,,yes,2026-04-21 03:04:10.439
Authentication Service Eligibility,Eligibility for authentication service,POST /payments (read during 3DS auth eligibility check),configs table:authentication_service_eligible,not_covered,,yes,
Eligibility Check,Perform payment eligibility checks,POST /payments/eligibility,configs table:should_perform_eligibility,covered,Cypress spec 35-PaymentsEligibilityAPI,yes,
Eligibility Data Storage For Auth,Store eligibility check data for authentication,POST /payments (read during UAS 3DS flow),configs table:should_store_eligibility_check_data_for_authentication,not_covered,,yes,
3DS Routing Region UAS,3DS routing region for Unified Authentication Service,POST /payments (read during UAS 3DS routing),configs table:threeds_routing_region_uas,not_covered,,no,
PM Modular Service,Payment method modular service toggle,POST /payments/confirm + GET /payment_methods,configs table:should_call_pm_modular_service,not_covered,,no,
Payment Link,Generate hosted payment link for a payment,POST /payments (payment_link=true) + GET /payment_link/{id},business_profile.rs:payment_link_config,not_covered,,yes,2026-04-21 03:03:48
Payout Link,Generate hosted payout link,POST /payouts (payout_link config),business_profile.rs:payout_link_config,not_covered,,no,
PM Collect Link,Payment method collection link,GET /pm_collect/{id},merchant_account.rs:pm_collect_link_config,not_covered,,no,
Customer Management,Customer CRUD operations,POST/GET/PUT/DELETE /customers,api_models/customers.rs,covered,Cypress spec 02-CustomerCreate 27-DeletedCustomerPsyncFlow 34-CustomerListTests,yes,2026-04-21 02:16:35.400
Blocklist,Block specific cards/fingerprints/card BINs,POST/GET/DELETE /blocklist,configs table:guard_blocklist_for,covered,Cypress spec 35-PaymentsEligibilityAPI,yes,2026-04-21 02:17:05.869
PM Filters CGraph,Payment method filter configuration graph,GET /payment_methods (pm_filters_cgraph applied),configs table:pm_filters_cgraph,covered,Cypress spec 24/PaymentMethodList tests,no,
Conditional Routing DSL,Conditional payment routing domain-specific language,POST /routing (conditional config),configs table:dsl,not_covered,,no,
